price,Location,Floor,Land Mark,Land,Road,Bathroom,Bedroom,url
130000000,"Bagmati Corridor Yela Marga, Chobu Nani, Kupondole, Patan, Lalitpur, Bagmati Pradesh, 00779, Nepal",4,,3764.75,13,4,12,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kupondollalitupr-in-lalitpur/20c751d02c924407bae8685c1a8d6998
19000000,"Bakhundol, झम्सीखेल, सानेपा",3,parking,684.5,13,7,6,https://hamrobazaar.com/for-sale-house/house-on-sale-at-baluwatar-ktm-in-kathmandu/0c461a8623dd4243bb62a400d9ccc850
55000000,"Bal Kumari Marg, पानीपोखरी, Lazimpat",11,,1711.25,13,1,1,https://hamrobazaar.com/for-sale-house/house-on-sale-at-samakhusi-tokhanagarpalika-in-nepal/d1d087417def4faaa9d0a3b12be5056f
75000000,"Balaju, Kathmandu",,,1454.56,20,3,4,https://hamrobazaar.com/for-sale-house/new-fully-furnished-bunglow-style-house-in-bhaktapur/d8d21115619a414e9d3e296127228968
51500000,"Balaju, Kathmandu",4.5,ntc building,1471.675,12,15,17,https://hamrobazaar.com/for-sale-house/balaju-commercial-building-recently-built-near-ntc-in-kathmandu/24e859bbd2a14c17841585104654f75a
19800000,"Balambu (Chandragiri), Kathmandu",2.5,,1060.975,12,3,5,https://hamrobazaar.com/for-sale-house/house-on-rent-at-chandragiri-in-kathmandu/c1c5b39212b14153a5ffeb6f2be2c171
26300000,"Balkhu, Kathmandu",2.5,Vayodha Hospital,965.9924,13,3,3,https://hamrobazaar.com/for-sale-house/brihat-cluster-balkhu-plot-22-for-sale-in-kathmandu/fe59635002934e69b71989e356f1842b
24900000,"Balkhu, Kathmandu",2.5,Inside Ring road,971.5538,13,3,3,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-balkhu-kathmandu-in-kathmandu/c849a425966e45da89a27d8e0150c1c5
97500000,"Balkhu, Kathmandu",2.5,,5133.75,13,4,5,https://hamrobazaar.com/for-sale-house/house-for-sale-at-balkhu-in-kathmandu/a517e0c9193149ea80d0c5f30922bb39
25000000,"Balkot (Ananta), Bhaktapur",2.5,,1369,12,1,6,https://hamrobazaar.com/for-sale-house/house-on-sale-at-balkot-in-bhaktapur/c8077383b33e4e4faffb5bf9434d0b28
39500000,"Balkot Dadhikot Sirutar Gamcha Patletar Gundu, Ananta Area, Bhaktapur",3.5,Near Modern Eng School,1882.375,20,6,6,https://hamrobazaar.com/for-sale-house/fully-furnished-house-for-sale-in-bhaktapur/3506fd0116d34ec9afe642a2147c17f0
27000000,"Balkot, Anantalingeshwar, सूर्यविनायक नगरपालिका, भक्तपुर, Bagmati Pradesh, नेपाल",3,,1369,13,2,4,https://hamrobazaar.com/for-sale-house/bungalow-design-house-on-sell-in-nepal/359d5cf26e3740749c352f1817a44bae
